name,patterns,pre_minutes,post_minutes,label,window,trades,wins,losses,time_exits,vetoed_entries,final_balance,return_pct,profit_factor,max_realized_drawdown,fees,example_entries
No veto,(),0,0,No event veto,Development (calendar-covered 2023-08 to 2024-06),86,35,51,18,0,69.759,-30.241,0.5519217127613889,33.6425,23.2326,2023-08-09 14:30 UTC SHORT; 2023-08-10 14:15 UTC SHORT; 2023-08-11 12:45 UTC SHORT; 2023-08-14 12:15 UTC SHORT; 2023-08-18 12:30 UTC SHORT
Core 30/30,"('cpi', 'ppi', 'nonfarm payrolls', 'unemployment rate', 'average hourly earnings', 'fed interest rate decision', 'fomc statement', 'fomc press conference', 'fomc economic projections')",30,30,Core USD veto 30m before / 30m after,Development (calendar-covered 2023-08 to 2024-06),85,36,49,18,13,73.3365,-26.6635,0.5973811750014736,30.2634,23.6215,2023-08-09 14:30 UTC SHORT; 2023-08-10 14:15 UTC SHORT; 2023-08-14 12:15 UTC SHORT; 2023-08-18 12:30 UTC SHORT; 2023-08-24 14:45 UTC LONG
Core 60/60,"('cpi', 'ppi', 'nonfarm payrolls', 'unemployment rate', 'average hourly earnings', 'fed interest rate decision', 'fomc statement', 'fomc press conference', 'fomc economic projections')",60,60,Core USD veto 60m before / 60m after,Development (calendar-covered 2023-08 to 2024-06),81,35,46,17,23,76.4252,-23.5748,0.6297659725247133,27.269,23.1997,2023-08-09 14:30 UTC SHORT; 2023-08-10 14:15 UTC SHORT; 2023-08-14 12:15 UTC SHORT; 2023-08-18 12:30 UTC SHORT; 2023-08-24 14:45 UTC LONG
Extended 30/30,"('cpi', 'ppi', 'nonfarm payrolls', 'unemployment rate', 'average hourly earnings', 'fed interest rate decision', 'fomc statement', 'fomc press conference', 'fomc economic projections', 'core pce', 'pce price', 'gdp (qoq)', 'retail sales', 'ism manufacturing pmi', 'ism non-manufacturing pmi')",30,30,Extended USD veto 30m before / 30m after,Development (calendar-covered 2023-08 to 2024-06),80,33,47,17,33,71.8019,-28.1981,0.5529041395856773,31.7625,22.2085,2023-08-09 14:30 UTC SHORT; 2023-08-10 14:15 UTC SHORT; 2023-08-14 12:15 UTC SHORT; 2023-08-18 12:30 UTC SHORT; 2023-08-24 14:45 UTC LONG
No veto,(),0,0,No event veto,Validation (2024-07 to 2024-12),67,21,46,9,0,61.5078,-38.4922,0.3828995977080744,42.7694,22.4233,2024-07-04 15:30 UTC LONG; 2024-07-05 13:00 UTC LONG; 2024-07-12 14:15 UTC LONG; 2024-07-15 13:20 UTC LONG; 2024-07-16 13:10 UTC LONG
Core 60/60,"('cpi', 'ppi', 'nonfarm payrolls', 'unemployment rate', 'average hourly earnings', 'fed interest rate decision', 'fomc statement', 'fomc press conference', 'fomc economic projections')",60,60,Core USD veto 60m before / 60m after,Validation (2024-07 to 2024-12),65,21,44,9,15,63.8047,-36.1953,0.3940341672651327,39.6293,22.3143,2024-07-04 15:30 UTC LONG; 2024-07-12 14:15 UTC LONG; 2024-07-15 13:20 UTC LONG; 2024-07-16 13:10 UTC LONG; 2024-07-17 07:45 UTC LONG
No veto,(),0,0,No event veto,Holdout (2025-01 onward),161,56,105,11,0,34.1847,-65.8153,0.41830770224780467,66.0392,42.3433,2025-01-08 08:40 UTC LONG; 2025-01-09 07:00 UTC LONG; 2025-01-10 13:15 UTC LONG; 2025-01-13 08:35 UTC LONG; 2025-01-15 16:40 UTC LONG
Core 60/60,"('cpi', 'ppi', 'nonfarm payrolls', 'unemployment rate', 'average hourly earnings', 'fed interest rate decision', 'fomc statement', 'fomc press conference', 'fomc economic projections')",60,60,Core USD veto 60m before / 60m after,Holdout (2025-01 onward),158,54,104,11,14,34.3498,-65.6502,0.40898599487211745,65.8696,41.6653,2025-01-08 08:40 UTC LONG; 2025-01-09 07:00 UTC LONG; 2025-01-13 08:35 UTC LONG; 2025-01-15 16:40 UTC LONG; 2025-01-16 07:15 UTC LONG
