Date,Timestamp,Open,High,Low,Close,Volume
20260510,23:59:00,4692.565,4692.595,4689.765,4691.465,0.0254399993718835
20260511,00:00:00,4691.395,4691.395,4682.745,4682.975,0.0564599987555994
20260511,00:01:00,4682.758,4684.095,4681.875,4684.025,0.0370199990720721
20260511,00:02:00,4683.935,4687.355,4683.605,4687.315,0.0240899994241772
20260511,00:03:00,4686.345,4686.765,4683.278,4684.525,0.0324899991828715
20260511,00:04:00,4684.555,4687.175,4684.555,4687.145,0.0281699992920039
20260511,00:05:00,4687.115,4690.065,4687.115,4688.865,0.0336299991613487
20260511,00:06:00,4688.905,4689.535,4687.245,4688.065,0.0245699994557071
20260511,00:07:00,4688.075,4689.985,4688.055,4689.015,0.0244499994296348
20260511,00:08:00,4689.065,4689.465,4687.285,4688.255,0.0282599993952317
20260511,00:09:00,4688.215,4688.335,4684.705,4685.645,0.028139999427367
20260511,00:10:00,4685.718,4686.715,4683.535,4683.715,0.0289199993130751
20260511,00:11:00,4683.915,4684.765,4682.885,4683.465,0.0212399994634325
20260511,00:12:00,4683.435,4684.765,4682.955,4684.455,0.0254999993630918
20260511,00:13:00,4684.345,4684.345,4681,4681.245,0.0269499993300997
20260511,00:14:00,4681.305,4682.405,4680.195,4682.405,0.0229499994493381
20260511,00:15:00,4682.385,4683.035,4679.565,4681.875,0.0379799990478205
20260511,00:16:00,4681.865,4682.435,4679.615,4679.715,0.0290099992707837
20260511,00:17:00,4679.685,4680.095,4676.465,4679.185,0.0307499993214151
20260511,00:18:00,4679.075,4680.445,4678.595,4679.805,0.0285299992829096
20260511,00:19:00,4679.485,4681.085,4677.485,4677.485,0.0284099994023563
20260511,00:20:00,4677.465,4681.885,4675.645,4681.265,0.0422399989329278
20260511,00:21:00,4681.225,4683.455,4680.485,4682.825,0.0278399992967024
20260511,00:22:00,4682.915,4684.765,4682.365,4684.695,0.0178799995483132
20260511,00:23:00,4684.725,4685.565,4684.165,4685.145,0.016289999592118
20260511,00:24:00,4685.085,4685.295,4683.785,4684.085,0.0161099996039411
20260511,00:25:00,4683.935,4686.385,4683.578,4685.915,0.0308699991874164
20260511,00:26:00,4685.865,4686.345,4683.605,4684.435,0.023129999419325
20260511,00:27:00,4684.405,4684.685,4682.265,4682.795,0.021809999467223
20260511,00:28:00,4682.748,4683.765,4681.495,4682.685,0.0199499994923826
20260511,00:29:00,4682.705,4683.815,4682.695,4683.115,0.0176399995543761
20260511,00:30:00,4683.118,4687.725,4683.118,4687.665,0.0289199992694193
20260511,00:31:00,4687.585,4692.255,4687.585,4690.235,0.0359399990993552
20260511,00:32:00,4690.365,4692.645,4689.435,4692.525,0.0335699991555884
20260511,00:33:00,4692.575,4692.995,4691.688,4692.515,0.0257399993424769
20260511,00:34:00,4692.495,4692.955,4691.708,4692.695,0.0212399994779844
20260511,00:35:00,4692.675,4693.035,4691.335,4691.365,0.0228599994297838
20260511,00:36:00,4691.365,4692.725,4691.135,4691.755,0.0224699995014817
20260511,00:37:00,4691.805,4692.255,4689.488,4689.875,0.0247799993812805
20260511,00:38:00,4690.095,4690.095,4686.975,4686.975,0.0231599994149292
20260511,00:39:00,4686.945,4687.995,4685.165,4687.285,0.0326699992729118
20260511,00:40:00,4687.245,4688.875,4687.075,4688.025,0.0303299993829569
20260511,00:41:00,4688.075,4689.735,4688.045,4689.145,0.0201299995242152
20260511,00:42:00,4689.115,4690.485,4688.975,4690.425,0.0234899995120941
20260511,00:43:00,4690.395,4691.495,4688.535,4688.535,0.020309999701567
20260511,00:44:00,4688.555,4689.875,4688.555,4688.855,0.0196799996192567
20260511,00:45:00,4688.885,4690.505,4688.165,4690.065,0.0212999995419523
20260511,00:46:00,4690.035,4691.265,4687.985,4687.995,0.0218699995893985
20260511,00:47:00,4687.795,4691.595,4687.605,4691.585,0.0218399995937943
20260511,00:48:00,4691.555,4692.675,4690.165,4692.295,0.0208499995351303
20260511,00:49:00,4692.135,4692.305,4689.975,4690.035,0.0203999994846527
20260511,00:50:00,4690.025,4690.885,4688.435,4690.175,0.0211199994664639
20260511,00:51:00,4690.178,4691.745,4688.165,4688.575,0.0341999991360353
20260511,00:52:00,4688.505,4689.055,4672.415,4676.025,0.0613499986793613
20260511,00:53:00,4676.065,4679.145,4670.125,4678.865,0.0710399984382093
20260511,00:54:00,4678.825,4682.645,4678.825,4682.215,0.0432899991137674
20260511,00:55:00,4682.255,4682.625,4675.665,4676.455,0.0464699988660868
20260511,00:56:00,4676.475,4677.075,4673.415,4675.325,0.0497699987899978
20260511,00:57:00,4675.505,4679.515,4674.945,4678.845,0.040109999012202
20260511,00:58:00,4679.035,4680.555,4677.255,4678.045,0.0348899991367944
20260511,00:59:00,4678.118,4684.065,4678.085,4683.265,0.0406199990247842
20260511,01:00:00,4683.055,4685.795,4674.255,4677.155,0.079249998103478
20260511,01:01:00,4677.115,4681.055,4675.585,4678.245,0.0553199992282316
20260511,01:02:00,4678.415,4681.095,4674.995,4679.575,0.0547899988596328
20260511,01:03:00,4679.705,4685.635,4679.255,4684.995,0.0477299988706363
