previous_timestamp_utc,next_timestamp_utc,gap_minutes,category,open_gap_return_pct,previous_close,next_open
2019-10-28T22:50:00+00:00,2019-10-29T01:05:00+00:00,135,intraday_gap_requires_review,-0.04891,1492.54,1491.81
2019-10-29T22:50:00+00:00,2019-10-30T01:05:00+00:00,135,intraday_gap_requires_review,-0.03428,1487.9,1487.39
2019-10-30T22:50:00+00:00,2019-10-31T01:05:00+00:00,135,intraday_gap_requires_review,0.01137,1495.6,1495.77
2019-10-31T22:50:00+00:00,2019-11-01T01:05:00+00:00,135,intraday_gap_requires_review,0.02381,1512.13,1512.49
2019-11-28T19:55:00+00:00,2019-11-29T01:05:00+00:00,310,intraday_gap_requires_review,-0.02404,1455.74,1455.39
2019-12-24T20:25:00+00:00,2019-12-26T06:00:00+00:00,2015,extended_non_weekend_gap,0.28553,1498.99,1503.27
2019-12-31T20:45:00+00:00,2020-01-02T06:00:00+00:00,1995,extended_non_weekend_gap,-0.01315,1520.46,1520.26
2020-01-20T19:55:00+00:00,2020-01-21T01:05:00+00:00,310,intraday_gap_requires_review,0.02435,1560.5,1560.88
2020-02-17T19:55:00+00:00,2020-02-18T01:05:00+00:00,310,intraday_gap_requires_review,0.17902,1580.86,1583.69
2020-03-09T22:50:00+00:00,2020-03-10T01:05:00+00:00,135,intraday_gap_requires_review,-0.62092,1678.15,1667.73
2020-03-10T22:50:00+00:00,2020-03-11T01:05:00+00:00,135,intraday_gap_requires_review,0.15521,1649.37,1651.93
2020-03-11T22:50:00+00:00,2020-03-12T01:05:00+00:00,135,intraday_gap_requires_review,0.21202,1636.63,1640.1
2020-03-12T22:50:00+00:00,2020-03-13T01:05:00+00:00,135,intraday_gap_requires_review,-0.1476,1578.63,1576.3
2020-03-16T22:50:00+00:00,2020-03-17T01:05:00+00:00,135,intraday_gap_requires_review,0.17627,1509.09,1511.75
2020-03-17T22:50:00+00:00,2020-03-18T01:05:00+00:00,135,intraday_gap_requires_review,0.62115,1527.8,1537.29
2020-03-18T22:50:00+00:00,2020-03-19T01:05:00+00:00,135,intraday_gap_requires_review,0.04513,1484.63,1485.3
2020-03-19T22:50:00+00:00,2020-03-20T01:05:00+00:00,135,intraday_gap_requires_review,-0.46597,1474.34,1467.47
2020-03-23T22:50:00+00:00,2020-03-24T01:05:00+00:00,135,intraday_gap_requires_review,0.71245,1552.39,1563.45
2020-03-24T22:50:00+00:00,2020-03-25T01:05:00+00:00,135,intraday_gap_requires_review,0.32178,1625.33,1630.56
2020-03-25T22:50:00+00:00,2020-03-26T01:05:00+00:00,135,intraday_gap_requires_review,-0.24438,1616.35,1612.4
2020-03-26T22:50:00+00:00,2020-03-27T01:05:00+00:00,135,intraday_gap_requires_review,0.07797,1628.93,1630.2
2020-04-09T23:50:00+00:00,2020-04-13T01:05:00+00:00,4395,extended_non_weekend_gap,-0.36173,1683.56,1677.47
2020-05-25T19:55:00+00:00,2020-05-26T01:05:00+00:00,310,intraday_gap_requires_review,-0.12498,1728.22,1726.06
2020-09-07T19:55:00+00:00,2020-09-08T01:05:00+00:00,310,intraday_gap_requires_review,0.06482,1928.29,1929.54
2020-11-26T19:55:00+00:00,2020-11-27T01:05:00+00:00,310,intraday_gap_requires_review,0.00221,1810.2,1810.24
2020-12-24T20:40:00+00:00,2020-12-28T01:05:00+00:00,4585,extended_non_weekend_gap,0.48422,1879.3,1888.4
2020-12-31T20:45:00+00:00,2021-01-04T01:05:00+00:00,4580,extended_non_weekend_gap,0.82601,1893.43,1909.07
2021-01-18T19:55:00+00:00,2021-01-19T01:05:00+00:00,310,intraday_gap_requires_review,0.04843,1837.52,1838.41
2021-02-15T19:55:00+00:00,2021-02-16T01:05:00+00:00,310,intraday_gap_requires_review,0.04949,1818.72,1819.62
2021-04-01T23:50:00+00:00,2021-04-05T01:05:00+00:00,4395,extended_non_weekend_gap,-0.04799,1729.49,1728.66
2021-05-31T19:55:00+00:00,2021-06-01T01:05:00+00:00,310,intraday_gap_requires_review,0.03357,1906.62,1907.26
2021-06-14T23:50:00+00:00,2021-06-15T01:50:00+00:00,120,intraday_gap_requires_review,0.06537,1866.31,1867.53
2021-06-15T13:50:00+00:00,2021-06-15T15:25:00+00:00,95,intraday_gap_requires_review,-0.05844,1865.06,1863.97
2021-06-18T16:30:00+00:00,2021-06-18T18:15:00+00:00,105,intraday_gap_requires_review,0.07154,1775.25,1776.52
2021-07-05T19:55:00+00:00,2021-07-06T01:05:00+00:00,310,intraday_gap_requires_review,-0.02567,1791.73,1791.27
2021-09-06T19:55:00+00:00,2021-09-07T01:05:00+00:00,310,intraday_gap_requires_review,0.02139,1823.14,1823.53
2021-09-24T18:20:00+00:00,2021-09-24T21:40:00+00:00,200,intraday_gap_requires_review,-0.24832,1751.8,1747.45
2021-11-25T19:55:00+00:00,2021-11-26T01:05:00+00:00,310,intraday_gap_requires_review,0.11463,1788.42,1790.47
2021-12-23T23:50:00+00:00,2021-12-27T01:05:00+00:00,4395,extended_non_weekend_gap,-0.09902,1807.76,1805.97
2022-01-17T21:25:00+00:00,2022-01-18T01:05:00+00:00,220,intraday_gap_requires_review,-0.04618,1819.11,1818.27
2022-02-21T21:25:00+00:00,2022-02-22T01:05:00+00:00,220,intraday_gap_requires_review,0.44866,1903.46,1912.0
2022-04-14T23:50:00+00:00,2022-04-18T01:05:00+00:00,4395,extended_non_weekend_gap,-0.04054,1973.19,1972.39
2022-05-30T21:25:00+00:00,2022-05-31T01:05:00+00:00,220,intraday_gap_requires_review,0.05013,1855.1,1856.03
2022-06-20T21:25:00+00:00,2022-06-21T01:05:00+00:00,220,intraday_gap_requires_review,-0.03481,1838.41,1837.77
2022-07-04T21:25:00+00:00,2022-07-05T01:00:00+00:00,215,intraday_gap_requires_review,0.00277,1807.9,1807.95
2022-09-05T21:25:00+00:00,2022-09-06T01:00:00+00:00,215,intraday_gap_requires_review,0.03275,1710.07,1710.63
2022-11-24T21:25:00+00:00,2022-11-25T01:00:00+00:00,215,intraday_gap_requires_review,-0.02962,1755.38,1754.86
2022-12-23T23:55:00+00:00,2022-12-27T01:00:00+00:00,4385,extended_non_weekend_gap,0.08729,1798.51,1800.08
2022-12-30T23:45:00+00:00,2023-01-03T01:00:00+00:00,4395,extended_non_weekend_gap,0.12992,1824.2,1826.57
2023-01-16T21:25:00+00:00,2023-01-17T01:00:00+00:00,215,intraday_gap_requires_review,-0.0214,1915.45,1915.04
2023-02-20T21:25:00+00:00,2023-02-21T01:00:00+00:00,215,intraday_gap_requires_review,0.00978,1841.26,1841.44
2023-04-06T23:55:00+00:00,2023-04-10T01:00:00+00:00,4385,extended_non_weekend_gap,-0.49917,2007.32,1997.3
2023-05-29T21:25:00+00:00,2023-05-30T01:00:00+00:00,215,intraday_gap_requires_review,0.02728,1943.15,1943.68
2023-06-19T21:25:00+00:00,2023-06-20T01:00:00+00:00,215,intraday_gap_requires_review,0.00615,1950.48,1950.6
2023-07-04T21:25:00+00:00,2023-07-05T01:00:00+00:00,215,intraday_gap_requires_review,-0.0026,1925.89,1925.84
2023-09-04T21:25:00+00:00,2023-09-05T01:00:00+00:00,215,intraday_gap_requires_review,-0.0031,1938.47,1938.41
2023-11-23T21:25:00+00:00,2023-11-24T01:00:00+00:00,215,intraday_gap_requires_review,0.00853,1992.78,1992.95
2023-12-22T23:55:00+00:00,2023-12-26T01:00:00+00:00,4385,extended_non_weekend_gap,0.02338,2052.75,2053.23
2023-12-29T23:40:00+00:00,2024-01-02T01:00:00+00:00,4400,extended_non_weekend_gap,0.01164,2062.67,2062.91
2024-01-15T21:30:00+00:00,2024-01-16T01:00:00+00:00,210,intraday_gap_requires_review,0.00097,2054.6,2054.62
2024-02-19T21:25:00+00:00,2024-02-20T01:00:00+00:00,215,intraday_gap_requires_review,0.00892,2017.91,2018.09
