name,require_daily,h4_ema_period,h1_ema_period,m15_ema_period,label,window,trades,wins,losses,time_exits,final_balance,return_pct,profit_factor,max_realized_drawdown,fees,example_entries
Strict hierarchy,True,50,50,20,D1|H4 EMA50|H1 EMA50|M15 EMA20,Development (2019-09 to 2022-12),160,48,112,30,40.9517,-59.0483,0.4344119953292457,61.6337,31.2658,2020-08-18 07:05 UTC LONG; 2020-08-19 12:25 UTC LONG; 2020-08-28 13:40 UTC LONG; 2020-08-31 08:45 UTC LONG; 2020-09-01 09:45 UTC LONG
No daily filter,False,50,50,20,no-D1|H4 EMA50|H1 EMA50|M15 EMA20,Development (2019-09 to 2022-12),390,122,268,57,11.9734,-88.0266,0.444867297036104,88.1286,42.9762,2019-09-27 16:15 UTC SHORT; 2019-10-03 09:15 UTC LONG; 2019-10-11 12:45 UTC SHORT; 2019-10-23 16:55 UTC LONG; 2019-10-29 13:45 UTC SHORT
Faster hierarchy,True,20,20,20,D1|H4 EMA20|H1 EMA20|M15 EMA20,Development (2019-09 to 2022-12),149,43,106,25,40.0148,-59.9852,0.39172762046323834,62.4979,27.8152,2020-08-18 07:05 UTC LONG; 2020-08-19 12:25 UTC LONG; 2020-08-27 10:45 UTC LONG; 2020-08-28 11:00 UTC LONG; 2020-08-31 08:45 UTC LONG
Slow M15 pullback,True,50,50,50,D1|H4 EMA50|H1 EMA50|M15 EMA50,Development (2019-09 to 2022-12),117,38,79,20,55.3273,-44.6727,0.4502283376311548,44.9296,24.0067,2020-08-19 12:25 UTC LONG; 2020-08-31 08:45 UTC LONG; 2020-09-10 12:55 UTC LONG; 2020-09-11 15:45 UTC LONG; 2020-09-15 16:45 UTC LONG
Strict hierarchy,True,50,50,20,D1|H4 EMA50|H1 EMA50|M15 EMA20,Strict hierarchy — Validation (2023-2024),202,64,138,30,28.8551,-71.1449,0.4166187134068519,71.1449,37.5028,2023-01-03 11:30 UTC LONG; 2023-01-04 15:30 UTC LONG; 2023-01-09 15:25 UTC LONG; 2023-01-10 16:20 UTC LONG; 2023-01-12 15:50 UTC LONG
Slow M15 pullback,True,50,50,50,D1|H4 EMA50|H1 EMA50|M15 EMA50,Development-selected — Validation (2023-2024),162,50,112,23,36.4948,-63.5052,0.467009799368385,65.1611,37.6294,2023-01-10 16:20 UTC LONG; 2023-01-12 15:50 UTC LONG; 2023-01-17 14:00 UTC LONG; 2023-01-19 16:00 UTC LONG; 2023-02-06 11:15 UTC SHORT
Strict hierarchy,True,50,50,20,D1|H4 EMA50|H1 EMA50|M15 EMA20,Strict hierarchy — Holdout (2025 onward),152,45,107,6,28.7442,-71.2558,0.3459598041019488,72.7199,40.9233,2025-01-07 13:30 UTC LONG; 2025-01-08 08:15 UTC LONG; 2025-01-09 10:35 UTC LONG; 2025-01-10 09:30 UTC LONG; 2025-01-13 10:35 UTC LONG
Slow M15 pullback,True,50,50,50,D1|H4 EMA50|H1 EMA50|M15 EMA50,Development-selected — Holdout (2025 onward),117,33,84,5,38.7649,-61.2351,0.3447965704375088,62.0068,33.5547,2025-01-03 08:10 UTC LONG; 2025-01-08 08:15 UTC LONG; 2025-01-10 15:15 UTC LONG; 2025-01-13 10:35 UTC LONG; 2025-01-16 09:15 UTC LONG
