name,patterns,pre_minutes,post_minutes,label,window,trades,wins,losses,time_exits,vetoed_entries,final_balance,return_pct,profit_factor,max_realized_drawdown,fees,example_entries
No veto,(),0,0,No event veto,Development (calendar-covered 2023-08 to 2024-06),60,18,42,12,0,68.9849,-31.0151,0.4351614951439458,32.1052,16.3814,2023-08-11 15:45 UTC SHORT; 2023-08-14 15:15 UTC SHORT; 2023-08-18 15:30 UTC SHORT; 2023-09-08 16:00 UTC SHORT; 2023-09-13 16:15 UTC SHORT
Core 30/30,"('cpi', 'ppi', 'nonfarm payrolls', 'unemployment rate', 'average hourly earnings', 'fed interest rate decision', 'fomc statement', 'fomc press conference', 'fomc economic projections')",30,30,Core USD veto 30m before / 30m after,Development (calendar-covered 2023-08 to 2024-06),60,18,42,12,10,68.9849,-31.0151,0.4351614951439458,32.1052,16.3814,2023-08-11 15:45 UTC SHORT; 2023-08-14 15:15 UTC SHORT; 2023-08-18 15:30 UTC SHORT; 2023-09-08 16:00 UTC SHORT; 2023-09-13 16:15 UTC SHORT
Core 60/60,"('cpi', 'ppi', 'nonfarm payrolls', 'unemployment rate', 'average hourly earnings', 'fed interest rate decision', 'fomc statement', 'fomc press conference', 'fomc economic projections')",60,60,Core USD veto 60m before / 60m after,Development (calendar-covered 2023-08 to 2024-06),60,18,42,12,16,68.9849,-31.0151,0.4351614951439458,32.1052,16.3814,2023-08-11 15:45 UTC SHORT; 2023-08-14 15:15 UTC SHORT; 2023-08-18 15:30 UTC SHORT; 2023-09-08 16:00 UTC SHORT; 2023-09-13 16:15 UTC SHORT
Extended 30/30,"('cpi', 'ppi', 'nonfarm payrolls', 'unemployment rate', 'average hourly earnings', 'fed interest rate decision', 'fomc statement', 'fomc press conference', 'fomc economic projections', 'core pce', 'pce price', 'gdp (qoq)', 'retail sales', 'ism manufacturing pmi', 'ism non-manufacturing pmi')",30,30,Extended USD veto 30m before / 30m after,Development (calendar-covered 2023-08 to 2024-06),59,18,41,12,26,69.9389,-30.0611,0.4430138869047958,31.1665,16.1595,2023-08-11 15:45 UTC SHORT; 2023-08-14 15:15 UTC SHORT; 2023-08-18 15:30 UTC SHORT; 2023-09-08 16:00 UTC SHORT; 2023-09-13 16:15 UTC SHORT
No veto,(),0,0,No event veto,Validation (2024-07 to 2024-12),60,14,46,4,0,57.4475,-42.5525,0.28000787237235963,42.9479,18.7197,2024-07-02 16:35 UTC LONG; 2024-07-03 07:05 UTC LONG; 2024-07-05 16:00 UTC LONG; 2024-07-15 07:05 UTC LONG; 2024-07-16 16:10 UTC LONG
Extended 30/30,"('cpi', 'ppi', 'nonfarm payrolls', 'unemployment rate', 'average hourly earnings', 'fed interest rate decision', 'fomc statement', 'fomc press conference', 'fomc economic projections', 'core pce', 'pce price', 'gdp (qoq)', 'retail sales', 'ism manufacturing pmi', 'ism non-manufacturing pmi')",30,30,Extended USD veto 30m before / 30m after,Validation (2024-07 to 2024-12),59,14,45,4,7,58.5565,-41.4435,0.2856261322800352,41.8389,18.629,2024-07-02 16:35 UTC LONG; 2024-07-03 07:05 UTC LONG; 2024-07-05 16:00 UTC LONG; 2024-07-15 07:05 UTC LONG; 2024-07-16 16:10 UTC LONG
No veto,(),0,0,No event veto,Holdout (2025-01 onward),117,33,84,5,0,38.7649,-61.2351,0.3447965704375088,62.0068,33.5547,2025-01-03 08:10 UTC LONG; 2025-01-08 08:15 UTC LONG; 2025-01-10 15:15 UTC LONG; 2025-01-13 10:35 UTC LONG; 2025-01-16 09:15 UTC LONG
Extended 30/30,"('cpi', 'ppi', 'nonfarm payrolls', 'unemployment rate', 'average hourly earnings', 'fed interest rate decision', 'fomc statement', 'fomc press conference', 'fomc economic projections', 'core pce', 'pce price', 'gdp (qoq)', 'retail sales', 'ism manufacturing pmi', 'ism non-manufacturing pmi')",30,30,Extended USD veto 30m before / 30m after,Holdout (2025-01 onward),116,34,82,5,4,40.7578,-59.2422,0.3592420931901379,60.0683,33.4211,2025-01-03 08:10 UTC LONG; 2025-01-08 08:15 UTC LONG; 2025-01-10 15:15 UTC LONG; 2025-01-13 10:35 UTC LONG; 2025-01-16 09:15 UTC LONG
